epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.288,0.63525,3.8301,0.21018,0.76859,1.14638,0.11442,0.12329,0.06371,0.02039,0.07256,0.08219,0.0254,0.00927,nan,nan,nan,nan,nan,0.00066,0.00066,0.00066
2,259.414,0.48036,1.66719,0.04017,0.34608,0.92777,0.32972,0.30661,0.24223,0.09775,0.24406,0.24658,0.12813,0.05629,2.63859,5.45649,0.09277,2.46396,2.93912,0.0013004,0.0013004,0.0013004
3,389.503,0.49465,1.31638,0.01518,0.34708,0.92928,0.57498,0.64041,0.66164,0.36481,0.35712,0.40753,0.28414,0.1477,1.46516,5.20949,0.01169,2.31652,2.20623,0.0019144,0.0019144,0.0019144
4,513.266,0.45344,0.98013,0.0084,0.31188,0.89718,0.86957,0.37671,0.46579,0.35846,0.63917,0.2774,0.30983,0.22637,1.73562,5.00423,0.05479,1.73218,3.41654,0.0018812,0.0018812,0.0018812
5,642.465,0.37165,0.67136,0.00559,0.27142,0.85533,0.84118,0.7437,0.87078,0.659,0.65467,0.50641,0.47213,0.37638,0.90767,3.7886,0.00524,0.76301,1.42622,0.0018416,0.0018416,0.0018416
6,770.256,0.37018,0.49105,0.004,0.26522,0.85004,0.79084,0.85464,0.90475,0.72604,0.74881,0.80652,0.81578,0.69711,0.65777,1.41345,0.00503,0.77446,1.17892,0.001802,0.001802,0.001802
7,900.025,0.32384,0.46018,0.00329,0.24595,0.82958,0.97883,0.95002,0.98613,0.9106,0.93579,0.90753,0.93626,0.90602,0.40331,0.58063,0.00279,0.34438,0.92632,0.0017624,0.0017624,0.0017624
8,1028.56,0.30583,0.55657,0.00288,0.2262,0.81711,0.93235,0.89673,0.96877,0.85895,0.85917,0.84932,0.85472,0.81546,0.52843,1.33239,0.0051,0.48378,1.03879,0.0017228,0.0017228,0.0017228
9,1158.49,0.29854,0.42081,0.00246,0.22318,0.82141,0.96859,0.84496,0.94009,0.80334,0.93292,0.80966,0.88277,0.8276,0.58311,0.97016,0.0062,0.52382,1.08014,0.0016832,0.0016832,0.0016832
10,1285.15,0.27279,0.36957,0.00206,0.21514,0.80928,0.69073,0.32534,0.4261,0.33062,0.68294,0.31849,0.39162,0.32727,1.7159,4.7294,0.04803,1.72135,2.75517,0.0016436,0.0016436,0.0016436
