epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.1881,2.78752,6.76599,0.60689,4.61874,3.44261,0.02752,0.04478,0.017,0.00846,0.00917,0.01493,0.00474,0.00047,2.78433,6.45902,0.59908,5.08228,3.4648,8e-05,8e-05,8e-05
2,142.327,2.60954,6.82519,0.59782,4.36364,3.07735,0.92912,0.86567,0.95643,0.83185,0.10488,0.04478,0.01942,0.00302,0.54892,6.66144,0.71607,0.55023,1.058,0.000176436,0.000176436,0.000176436
3,219.164,0.5469,6.1046,0.38202,0.5269,1.04345,0.83774,0.8806,0.94177,0.78135,0.24234,0.25373,0.09062,0.02058,0.67932,6.83543,0.19677,0.87642,1.22317,0.000268912,0.000268912,0.000268912
4,288.831,0.40303,4.97815,0.24769,0.32537,0.89711,0.70588,0.91045,0.92649,0.732,0.05655,0.08955,0.01115,0.00207,0.74119,8.89436,0.06727,1.83414,1.3079,0.000357428,0.000357428,0.000357428
5,359.676,0.3771,4.1705,0.20882,0.32978,0.87745,0.79141,0.97015,0.94866,0.74121,0.05818,0.1194,0.01689,0.00474,0.71614,8.73886,0.06692,1.92193,1.39928,0.000441984,0.000441984,0.000441984
6,428.134,0.40704,2.70767,0.20876,0.32775,0.89911,0.67432,0.77612,0.76962,0.49694,0.12767,0.14925,0.03803,0.01013,1.06262,8.22969,0.24828,2.36221,1.98028,0.00052258,0.00052258,0.00052258
7,500.48,0.43197,2.22759,0.2053,0.34715,0.89987,0.49142,0.50746,0.49073,0.26748,0.05397,0.10448,0.01489,0.00325,1.70258,8.54258,0.14846,3.95341,3.13775,0.000599216,0.000599216,0.000599216
8,569.256,0.4298,2.33867,0.16761,0.34442,0.90899,0.07599,0.1791,0.04044,0.02377,0.01266,0.02985,0.00265,0.00068,3.12679,9.09941,0.2034,11.404,11.0306,0.000671892,0.000671892,0.000671892
9,645.299,0.43123,2.09366,0.13378,0.33459,0.91302,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,0.000740608,0.000740608,0.000740608
10,715.859,0.44118,2.32413,0.10655,0.31729,0.89819,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,0.000805364,0.000805364,0.000805364
11,787.606,0.42737,2.37115,0.09116,0.34823,0.91301,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,0.00086616,0.00086616,0.00086616
12,861.775,0.44033,1.69996,0.07929,0.32319,0.9152,0.04545,0.01493,0.00303,0.0003,0,0,0,0,nan,nan,nan,nan,nan,0.000922996,0.000922996,0.000922996
13,930.447,0.46036,1.33993,0.07344,0.32589,0.91036,0.2,0.01493,0.03272,0.00654,0,0,0,0,nan,nan,nan,nan,nan,0.000975872,0.000975872,0.000975872
14,1005.73,0.44704,1.40684,0.06851,0.32125,0.90629,0.12433,0.1194,0.04567,0.0086,0.00956,0.01493,0.00277,0.00111,nan,nan,nan,nan,nan,0.00102479,0.00102479,0.00102479
15,1074.44,0.47038,1.12051,0.05493,0.33467,0.92045,0.27332,0.26866,0.12631,0.02593,0.02344,0.02985,0.0041,0.00107,nan,nan,nan,nan,nan,0.00106974,0.00106974,0.00106974
16,1146.25,0.4693,1.04181,0.04733,0.33563,0.91466,0.29056,0.28358,0.15569,0.04536,0.10011,0.1194,0.03343,0.00857,nan,nan,nan,nan,nan,0.00111074,0.00111074,0.00111074
17,1219.52,0.52758,1.13023,0.03933,0.34672,0.95121,0.10128,0.13433,0.02724,0.01126,0.02849,0.04478,0.00684,0.00164,nan,nan,nan,nan,nan,0.00114778,0.00114778,0.00114778
18,1301.87,0.45838,1.27568,0.03762,0.31976,0.89546,0.04903,0.20896,0.01976,0.00511,0.0294,0.08955,0.01183,0.00368,nan,nan,nan,nan,nan,0.00118085,0.00118085,0.00118085
19,1375.3,0.49274,0.80689,0.03492,0.32091,0.90882,0.14321,0.26866,0.07511,0.02116,0.1305,0.25373,0.05709,0.0153,nan,nan,nan,nan,nan,0.00120997,0.00120997,0.00120997
20,1449.06,0.52831,0.93022,0.02965,0.32993,0.93626,0.36824,0.53731,0.31202,0.19111,0.20964,0.41791,0.14764,0.06875,1.6828,4.49041,0.03019,3.19422,2.21214,0.00123512,0.00123512,0.00123512
21,1526.27,0.45774,0.97024,0.02823,0.31189,0.90663,0.44402,0.59701,0.43304,0.20973,0.29896,0.44776,0.22894,0.12573,1.65556,4.40297,0.02729,3.11484,2.19553,0.001208,0.001208,0.001208
22,1596.74,0.51674,0.91048,0.02822,0.35177,0.9259,0.46207,0.41791,0.37885,0.1894,0.3857,0.31343,0.25456,0.13017,2.06421,5.12609,0.04503,2.70862,2.94143,0.0011684,0.0011684,0.0011684
23,1672.17,0.45829,0.82671,0.02397,0.34065,0.91818,0.60416,0.43284,0.46946,0.27735,0.38473,0.28358,0.26921,0.1524,1.74714,5.33293,0.05081,2.33103,2.54169,0.0011288,0.0011288,0.0011288
24,1745.48,0.41044,0.77964,0.02182,0.29914,0.88047,0.54187,0.43284,0.51249,0.35415,0.19258,0.28358,0.13621,0.06203,1.5649,6.66807,0.03783,2.23743,2.14307,0.0010892,0.0010892,0.0010892
25,1814.52,0.38211,0.68719,0.01931,0.2841,0.86585,0.61952,0.56716,0.57162,0.33694,0.14974,0.19403,0.05459,0.02719,1.61869,6.92786,0.02663,2.07851,2.42385,0.0010496,0.0010496,0.0010496
26,1886.35,0.31982,0.50222,0.01741,0.25591,0.83883,0.36219,0.43284,0.33272,0.1587,0.15518,0.13433,0.07687,0.03502,2.33978,7.30599,0.06446,2.44361,3.26278,0.00101,0.00101,0.00101
27,1962,0.29198,0.58519,0.01651,0.23169,0.82648,0.24152,0.44776,0.26411,0.10266,0.05738,0.13433,0.02699,0.01111,2.55835,7.31047,0.07906,2.74623,3.0384,0.0009704,0.0009704,0.0009704
